3990,10,0,
3985,10,5,
3971,19,10,
3952,31,17,
3920,54,26,
3873,82,45,
3813,99,88,
3745,121,134,
3660,148,192,
3548,189,263,
3434,220,346,
3297,257,446,
3156,286,558,
2979,335,686,
2825,335,840,
2654,355,991,
2495,368,1137,
2343,362,1295,
2201,327,1472,
2073,324,1603,
1952,304,1744,
1841,282,1877,
1745,241,2014,
1657,231,2112,
1588,206,2206,
1532,170,2298,
1494,123,2383,
1462,105,2433,
1434,91,2475,
1417,73,2510,
1403,61,2536,
1392,43,2565,
1377,37,2586,
1368,30,2602,
1361,24,2615,
1353,20,2627,
1349,16,2635,
1345,11,2644,
1342,6,2652,
1341,4,2655,
1340,4,2656,
1338,5,2657,
1337,5,2658,
1336,3,2661,
1333,4,2663,
1332,2,2666,
1331,3,2666,
1331,3,2666,
1330,2,2668,
1328,3,2669,
1328,2,2670,
1328,2,2670,
1328,1,2671,
1327,1,2672,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
1327,0,2673,
