3990,10,0,
3989,11,0,
3984,15,1,
3973,24,3,
3962,27,11,
3955,25,20,
3943,31,26,
3935,28,37,
3922,30,48,
3907,34,59,
3881,51,68,
3844,68,88,
3794,91,115,
3742,99,159,
3669,134,197,
3579,169,252,
3459,220,321,
3303,281,416,
3134,327,539,
2948,366,686,
2744,399,857,
2523,435,1042,
2335,419,1246,
2141,434,1425,
1979,411,1610,
1850,361,1789,
1722,308,1970,
1604,279,2117,
1513,256,2231,
1447,195,2358,
1400,166,2434,
1354,132,2514,
1325,102,2573,
1292,95,2613,
1271,70,2659,
1257,53,2690,
1242,44,2714,
1237,31,2732,
1232,23,2745,
1227,12,2761,
1225,8,2767,
1223,7,2770,
1216,13,2771,
1213,12,2775,
1212,9,2779,
1212,7,2781,
1212,5,2783,
1211,3,2786,
1211,3,2786,
1210,2,2788,
1210,2,2788,
1209,2,2789,
1208,2,2790,
1208,2,2790,
1207,3,2790,
1206,3,2791,
1206,3,2791,
1205,4,2791,
1205,1,2794,
1203,3,2794,
1203,2,2795,
1203,1,2796,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
1203,0,2797,
