3995,5,0,
3991,5,4,
3986,7,7,
3982,8,10,
3975,11,14,
3966,14,20,
3960,17,23,
3949,21,30,
3935,27,38,
3918,33,49,
3904,30,66,
3876,43,81,
3842,52,106,
3808,59,133,
3768,71,161,
3713,93,194,
3650,116,234,
3568,150,282,
3468,172,360,
3348,197,455,
3225,224,551,
3100,245,655,
2973,250,777,
2835,273,892,
2699,276,1025,
2534,309,1157,
2376,321,1303,
2245,304,1451,
2118,270,1612,
2026,229,1745,
1942,205,1853,
1866,184,1950,
1812,144,2044,
1763,129,2108,
1724,109,2167,
1696,85,2219,
1659,83,2258,
1636,65,2299,
1619,49,2332,
1609,37,2354,
1596,28,2376,
1587,25,2388,
1578,21,2401,
1574,17,2409,
1570,13,2417,
1568,11,2421,
1565,8,2427,
1564,8,2428,
1561,7,2432,
1561,3,2436,
1561,1,2438,
1559,2,2439,
1559,1,2440,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
1559,0,2441,
