399990,10,0,
399981,12,7,
399974,15,11,
399964,21,15,
399942,33,25,
399909,49,42,
399861,70,69,
399813,90,97,
399749,115,136,
399653,149,198,
399555,169,276,
399420,228,352,
399252,290,458,
399002,401,597,
398664,549,787,
398270,700,1030,
397729,938,1333,
396965,1260,1775,
395988,1689,2323,
394653,2282,3065,
392871,3065,4064,
390532,3948,5520,
387479,5130,7391,
383636,6639,9725,
378644,8544,12812,
372504,10746,16750,
364786,13504,21710,
355572,16496,27932,
344183,20238,35579,
330805,24269,44926,
315677,28175,56148,
299056,31702,69242,
280906,35314,83780,
262342,37520,100138,
243807,38956,117237,
225839,39215,134946,
209341,37846,152813,
194463,35605,169932,
181344,32558,186098,
170139,29031,200830,
160606,25560,213834,
152909,21711,225380,
146669,17949,235382,
141752,14816,243432,
137729,12293,249978,
134527,9860,255613,
131984,7921,260095,
129926,6403,263671,
128311,5106,266583,
127045,4033,268922,
126029,3200,270771,
125317,2501,272182,
124673,2003,273324,
124190,1605,274205,
123789,1284,274927,
123467,1019,275514,
123205,843,275952,
123031,618,276351,
122900,464,276636,
122808,367,276825,
122740,259,277001,
122679,202,277119,
122634,151,277215,
122589,129,277282,
122550,100,277350,
122534,73,277393,
122516,65,277419,
122496,58,277446,
122485,44,277471,
122480,28,277492,
122476,21,277503,
122472,29,277499,
122466,15,277519,
122463,11,277526,
122458,18,277524,
122455,13,277532,
122451,11,277538,
122445,15,277540,
122436,16,277548,
122430,18,277552,
122424,12,277564,
122420,25,277555,
122417,23,277560,
122412,8,277580,
122409,6,277585,
122409,3,277588,
122409,1,277590,
122408,2,277590,
122408,1,277591,
122408,1,277591,
122408,1,277591,
122407,2,277591,
122406,1,277593,
122406,0,277594,
122406,3,277591,
122406,0,277594,
122406,0,277594,
122406,0,277594,
122406,0,277594,
122406,0,277594,
122406,0,277594,
122406,0,277594,
122406,54,277540,
122398,8,277594,
122398,5,277597,
122397,3,277600,
122397,1,277602,
122396,2,277602,
122396,2,277602,
122395,2,277603,
122395,1,277604,
122395,0,277605,
122395,0,277605,
122395,0,277605,
122395,13,277592,
122391,4,277605,
122390,2,277608,
122390,1,277609,
122390,0,277610,
122390,0,277610,
122390,2,277608,
122390,6,277604,
122390,31,277579,
122383,7,277610,
122381,6,277613,
122380,5,277615,
122379,3,277618,
122379,3,277618,
122378,2,277620,
122378,1,277621,
122377,1,277622,
122377,1,277622,
122377,1,277622,
122376,2,277622,
122375,3,277622,
122375,2,277623,
122374,1,277625,
122374,1,277625,
122374,1,277625,
122374,1,277625,
122374,0,277626,
122374,0,277626,
122374,0,277626,
122374,0,277626,
122374,0,277626,
122374,7,277619,
122372,2,277626,
122372,1,277627,
122372,1,277627,
122372,1,277627,
122372,2,277626,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,1,277627,
122372,0,277628,
122372,0,277628,
122372,2,277626,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,2,277626,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,0,277628,
122372,21,277607,
122372,9,277619,
122372,1,277627,
122372,44,277584,
122366,5,277629,
122365,2,277633,
122365,1,277634,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,8,277627,
122365,0,277635,
122365,1,277634,
122365,0,277635,
122365,0,277635,
122365,1,277634,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,0,277635,
122365,46,277589,
122359,6,277635,
122356,6,277638,
122354,5,277641,
122352,7,277641,
122351,2,277647,
122350,2,277648,
122349,3,277648,
122347,4,277649,
122345,4,277651,
122344,4,277652,
122343,3,277654,
122343,2,277655,
122342,2,277656,
122342,1,277657,
122342,1,277657,
122342,1,277657,
122342,1,277657,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,0,277658,
122342,1,277657,
122342,3,277655,
122341,1,277658,
122341,2,277657,
122340,1,277659,
122339,2,277659,
122339,1,277660,
122339,0,277661,
122339,0,277661,
122339,0,277661,
122339,0,277661,
122339,6,277655,
122338,1,277661,
122336,3,277661,
122336,1,277663,
122335,1,277664,
122335,1,277664,
122335,0,277665,
122335,9,277656,
122335,0,277665,
122335,0,277665,
122335,0,277665,
122335,0,277665,
122335,0,277665,
122335,0,277665,
122335,0,277665,
122335,0,277665,
122335,0,277665,
122335,13,277652,
122333,2,277665,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,0,277667,
122333,54,277613,
122329,4,277667,
122329,5,277666,
122328,2,277670,
122328,2,277670,
122328,2,277670,
122328,1,277671,
122328,1,277671,
122327,1,277672,
122327,1,277672,
122327,1,277672,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
122327,0,277673,
